"","logFC","logCPM","F","PValue","FDR","gene.ID","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA09001674",6.77683881907728,7.29023796948136,21.5978486107265,0.000192445473762306,0.000509732700744595,"BraA09001674","BraA09001674","AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA07002881",4.08538077027531,6.92410700894469,21.533089811363,0.000195440792539462,0.000516362711786596,"BraA07002881","BraA07002881","AT1G69490","NAP","NAC-like, activated by AP3/PI","YES","YES"
"BraA06003003",-3.13230354421125,3.43638778821918,21.4926275735289,0.000197338612204266,0.000520764783103526,"BraA06003003","BraA06003003","AT5G62410","SMC2","structural maintenance of chromosomes 2","-","-"
"BraA03003524",-3.8789642499087,2.58232795965127,21.426227834943,0.000200497564628883,0.000528480682914589,"BraA03003524","BraA03003524","AT3G06950","AT3G06950","Pseudouridine synthase family protein","-","-"
"BraA02003033",3.70794707301876,4.73999366575403,21.3692775545602,0.000203251802441763,0.000534844542345081,"BraA02003033","BraA02003033","AT4G12580","AT4G12580","hypothetical protein","-","-"
"BraA02001391",3.53086542239784,4.36396089710516,21.2761123717128,0.000207848656841418,0.000544936098643212,"BraA02001391","BraA02001391","AT5G56550","OXS3","oxidative stress 3","-","-"
"BraA09006984",4.97131309713608,2.89611934615873,21.2643196766501,0.000208438718103625,0.000546016250515592,"BraA09006984","BraA09006984","AT1G01070","UMAMIT28","nodulin MtN21 /EamA-like transporter family protein","-","-"
"BraA03004925",-4.57977018215114,6.77748504516782,21.258766776954,0.00020871720889515,0.000546575802824777,"BraA03004925","BraA03004925","AT4G15440","HPL1","hydroperoxide lyase 1","-","YES"
"BraA01000164",-4.11462258786215,2.90374188212405,21.2382585388047,0.000209749336852348,0.000548822009429422,"BraA01000164","BraA01000164","AT4G37400","CYP81F3","cytochrome P450, family 81, subfamily F, polypeptide 3","-","-"
"BraA07003706",-3.01257111882197,9.43781918236097,21.2282393122926,0.000210255642342646,0.000550055326334808,"BraA07003706","BraA07003706","AT1G74470","AT1G74470","Pyridine nucleotide-disulfide oxidoreductase family protein","-","-"
"BraA06000868",-3.82167301940896,2.8604325985376,21.162703951961,0.000213601081859306,0.000557417350603323,"BraA06000868","BraA06000868","AT2G33070","NSP2","nitrile specifier protein 2","-","-"
"BraA02000054",-3.87000868941099,3.11401208049621,21.136116443264,0.000214975163447414,0.000560538388071004,"BraA02000054","BraA02000054","AT5G02260","EXPA9","expansin A9","-","-"
"BraA03005758",3.0082720932161,2.00299169085631,21.0427946009768,0.000219876559341544,0.00057180260085912,"BraA03005758","BraA03005758","AT4G27840","AT4G27840","SNARE-like superfamily protein","-","-"
"BraA09006670",4.55647220352375,2.19675100881796,20.9865956503589,0.000222888102254516,0.000578487081820397,"BraA09006670","BraA09006670","AT1G07900","LBD1","LOB domain-containing protein 1","YES","-"
"BraA09000298",4.68466292813962,3.2377653474273,20.9398082317008,0.000225430324878525,0.000583929480212094,"BraA09000298","BraA09000298","AT3G26280","CYP71B4","cytochrome P450, family 71, subfamily B, polypeptide 4","-","-"
"BraA04002023",-3.54552750097731,5.79768145700957,20.9020599185924,0.000227504917932115,0.000588721820190719,"BraA04002023","BraA04002023","AT2G28000","CPN60A","chaperonin-60alpha","-","-"
"BraA03002109",-4.0938349273024,2.78341362144819,20.8766570895771,0.000228912972156436,0.00059168438401013,"BraA03002109","BraA03002109","AT2G38310","PYL4","PYR1-like 4","-","YES"
"BraA10002732",-3.84817825595924,2.67183754809506,20.8418122852785,0.000230860178396483,0.000595934345020843,"BraA10002732","BraA10002732",NA,NA,NA,NA,NA
"BraA02003806",-5.12031073533,3.00049656173193,20.8097252314695,0.00023266958019639,0.000600112852642254,"BraA02003806","BraA02003806","AT3G29030","EXPA5","expansin A5","-","YES"
"BraA08000541",-3.35944671799352,4.69356499399564,20.7850674831425,0.000234070760285606,0.000603430125139956,"BraA08000541","BraA08000541","AT1G45201","TLL1","triacylglycerol lipase-like 1","-","-"
"BraA10001128",-4.21152522611106,5.9787713577618,20.7830042853696,0.00023418842664749,0.000603535715971979,"BraA10001128","BraA10001128","AT5G55730","FLA1","FASCICLIN-like arabinogalactan 1","-","-"
"BraA03003887",-3.66879791353651,3.01860158394187,20.7684926618107,0.000235017901155766,0.000605574208709208,"BraA03003887","BraA03003887","AT3G14240","AT3G14240","Subtilase family protein","-","-"
"BraA06004071",3.21174343086467,3.46580574005973,20.7166578925075,0.000238007534563293,0.000612174985924809,"BraA06004071","BraA06004071","AT3G30775","ERD5","Methylenetetrahydrofolate reductase family protein","-","-"
"BraA03004087",9.01411543105124,1.78722972353103,27.7038628306203,0.00024439532801284,0.00062706748436492,"BraA03004087","BraA03004087","AT3G18035","HON4","winged-helix DNA-binding transcription factor family protein","-","-"
"BraA01000085",-3.19034652898581,5.47450882144268,20.6044266673014,0.000244626646850337,0.000627354125625309,"BraA01000085","BraA01000085","AT4G39840","AT4G39840","cell wall integrity/stress response component-like protein","-","-"
"BraA03006498",-3.74849943080431,4.63603190998152,20.5991741243203,0.000244941406057127,0.000627956657822574,"BraA03006498","BraA03006498","AT2G23130","AGP17","arabinogalactan protein 17","-","-"
"BraA01001637",-3.90287643855348,3.5956343420752,20.5863930790401,0.000245709195052436,0.000629822429279221,"BraA01001637","BraA01001637","AT4G24670","TAR2","tryptophan aminotransferase related 2","-","YES"
"BraA04001553",-4.01542271975057,4.15557862698245,20.5730932615144,0.000246510991394593,0.000631363437595265,"BraA04001553","BraA04001553","AT2G21650","MEE3","Homeodomain-like superfamily protein","-","-"
"BraA05000399",-7.06836306836591,2.52313042696162,20.5349472213854,0.000248826864457834,0.000636259268623412,"BraA05000399","BraA05000399","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA01000675",-3.92096455902909,5.61815495583235,20.5017834155483,0.000250859939732225,0.000640521176639022,"BraA01000675","BraA01000675","AT1G77520","AT1G77520","O-methyltransferase family protein","-","-"
"BraA07000531",3.23532418206961,6.0920861442203,20.4893267596673,0.000251628351257444,0.000642210628112741,"BraA07000531","BraA07000531","AT2G15480","UGT73B5","UDP-glucosyl transferase 73B5","-","-"
"BraA05003638",-3.1799196887773,5.56380206006243,20.4767062994714,0.000252409538397273,0.000643746595821635,"BraA05003638","BraA05003638","AT3G14840","AT3G14840","Leucine-rich repeat transmembrane protein kinase","-","-"
"BraA06003353",6.41195401290864,0.995954499860168,22.3730425785954,0.000254846271664254,0.000648909535745744,"BraA06003353","BraA06003353",NA,NA,NA,NA,NA
"BraA09004581",-3.62235551275925,5.17943209083117,20.2715963472995,0.000265491300571124,0.00067331540047848,"BraA09004581","BraA09004581","AT3G51600","LTP5","lipid transfer protein 5","-","-"
"BraA06002385",-9.89236461031205,4.41157377030892,21.4035685336891,0.000267622259070567,0.000677930436048687,"BraA06002385","BraA06002385","AT3G49570","LSU3","response to low sulfur 3","-","-"
"BraA09001658",-3.5446222402335,3.07957316015002,20.2087929962939,0.000269646366910793,0.000682728114192797,"BraA09001658","BraA09001658","AT1G62750","SCO1","Translation elongation factor EFG/EF2 protein","-","YES"
"BraA04003133",-3.53947862190344,2.28693898216841,20.1982582102562,0.000270350407794919,0.000684180446616412,"BraA04003133","BraA04003133","AT2G43590","AT2G43590","Chitinase family protein","-","-"
"BraA04000150",3.33518420393463,3.04614658224161,20.1072596056594,0.000276517700029525,0.000697544489846843,"BraA04000150","BraA04000150","AT2G45550","CYP76C4","cytochrome P450, family 76, subfamily C, polypeptide 4","-","-"
"BraA05004056",11.8543020923133,3.87449420872861,35.6767970809774,0.00028895808843462,0.000725669403065303,"BraA05004056","BraA05004056","AT3G10320","AT3G10320","Glycosyltransferase family 61 protein","-","-"
"BraA05000290",-3.53238648850353,3.62032890853331,19.8859623994129,0.000292179397643059,0.000732706773117318,"BraA05000290","BraA05000290","AT2G41170","AT2G41170","F-box family protein","-","-"
"BraSca000199",3.09162823838037,4.07572396013532,19.8786267912929,0.000292715190456484,0.000733933434834805,"BraSca000199","BraSca000199","AT5G51190","AT5G51190","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA08003628",-3.00980309156006,3.09370957456855,19.8652750110135,0.000293693212240015,0.000736151065276979,"BraA08003628","BraA08003628","AT1G10740","AT1G10740","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA03006435",-3.41853983257269,2.43132164467295,19.8183340167549,0.000297160622827927,0.000743421233834699,"BraA03006435","BraA03006435","AT4G36410","UBC17","ubiquitin-conjugating enzyme 17","-","-"
"BraA03005730",-3.19874904021483,8.5958091564869,19.8064057820911,0.000298048971679894,0.00074457828518095,"BraA03005730","BraA03005730","AT4G27440","PORB","protochlorophyllide oxidoreductase B","-","YES"
"BraA02003103",-3.86786567672481,3.55276250086413,19.7639688556165,0.000301233476306478,0.000751698379822192,"BraA02003103","BraA02003103","AT4G11320","AT4G11320","Papain family cysteine protease","-","-"
"BraA02000882",-3.39651188971035,7.18535633464897,19.6721622897987,0.000308253070639878,0.000766540821679696,"BraA02000882","BraA02000882","AT5G19220","APL1","ADP glucose pyrophosphorylase large subunit 1","-","-"
"BraA03001485",-4.07887867773726,3.01523747603977,19.6048788416011,0.000313513187609038,0.000778514047690677,"BraA03001485","BraA03001485","AT5G54010","AT5G54010","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA08000496",-3.52578037021705,2.99024337548377,19.6042033700519,0.000313566498773562,0.000778523576002016,"BraA08000496","BraA08000496","AT1G47395","AT1G47395","hypothetical protein","-","-"
"BraA10003036",-4.33217026633305,4.76881459842679,19.5724858280562,0.000316081178570805,0.000784024814941706,"BraA10003036","BraA10003036","AT5G03760","ATCSLA09","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraA09003064",4.60081507408446,1.55406165175336,19.5319885808757,0.000319324618297392,0.000790947929092988,"BraA09003064","BraA09003064","AT3G24690","AT3G24690","hypothetical protein","-","-"
"BraA09001848",3.41141912617072,6.20369679356895,19.3225375505131,0.000336701855072311,0.000829445357483843,"BraA09001848","BraA09001848","AT1G59725","AT1G59725","DNAJ heat shock family protein","-","-"
"BraA03001255",-3.08193468157235,3.80286613187372,19.3148739967277,0.000337357323063827,0.00083090543680269,"BraA03001255","BraA03001255","AT5G58250","EMB3143","YCF54","-","-"
"BraA05000147",6.24064366547867,2.208740616666,19.3046559937532,0.000338233484205722,0.000832933037161383,"BraA05000147","BraA05000147","AT2G47190","MYB2","myb domain protein 2","YES","-"
"BraA03001518",-3.11229415073889,5.43173433644484,19.1680710581959,0.000350191635405815,0.000858351335630203,"BraA03001518","BraA03001518","AT5G53420","AT5G53420","CCT motif family protein","-","-"
"BraA03000096",-3.05837877812197,4.18101085460337,19.1175487533051,0.000354733506390983,0.000867861700337142,"BraA03000096","BraA03000096",NA,NA,NA,NA,NA
"BraA05004410",-3.04628031099707,2.82393616443491,18.8744509367288,0.000377524299490162,0.000917769562301435,"BraA05004410","BraA05004410","AT3G05800","AIF1","AtBS1(activation-tagged BRI1 suppressor 1)-interacting factor 1","-","YES"
"BraA03000619",4.28009337268851,4.05788396289218,18.7270110844568,0.000392138498492137,0.000950799909441027,"BraA03000619","BraA03000619","AT5G13740","ZIF1","zinc induced facilitator 1","-","-"
"BraA07001934",-3.53836115027268,4.08397747090629,18.7029540591649,0.00039458224805924,0.000956430415197196,"BraA07001934","BraA07001934","AT2G28950","EXPA6","expansin A6","-","YES"
"BraA05001129",-5.34517549196185,3.27122283672273,18.6960167194601,0.000395290098665433,0.000957998612752079,"BraA05001129","BraA05001129",NA,NA,NA,NA,NA
"BraA03001246",3.97233317898039,1.59979423990367,18.6945515859214,0.000395439774068911,0.000958213779604,"BraA03001246","BraA03001246","AT5G58350","WNK4","with no lysine (K) kinase 4","-","-"
"BraA07004056",3.0564108728525,2.39246040028277,18.5906398353181,0.000406217846304282,0.000981007371001254,"BraA07004056","BraA07004056","AT1G78780","AT1G78780","pathogenesis-related family protein","-","-"
"BraA09003488",4.24191096784196,4.12244479474161,18.5693394836709,0.000408467337637949,0.00098477739008285,"BraA09003488","BraA09003488","AT1G32450","NRT1.5","nitrate transporter 1.5","-","-"
"BraA10001443",9.11151130012733,2.97638922569999,18.4823164947233,0.000417802806900982,0.0010052821054119,"BraA10001443","BraA10001443","AT5G59220","HAI1","PP2C protein (Clade A protein phosphatases type 2C)","-","YES"
"BraA07003548",-3.25401391360708,4.42197650153027,18.4254893054164,0.000424027078879071,0.00101866541500832,"BraA07003548","BraA07003548","AT1G72450","JAZ6","jasmonate-zim-domain protein 6","-","YES"
"BraA09004987",-5.48862182391359,3.22602940521457,18.4239333644151,0.000424198946302904,0.00101880259753091,"BraA09004987","BraA09004987","AT3G56220","AT3G56220","transcription regulator","-","-"
"BraA03004522",-7.55715341663927,6.8393369897344,18.3952513453866,0.000427381057567408,0.0010259753351458,"BraA03004522","BraA03004522","AT2G14580","PRB1","basic pathogenesis-related protein 1","-","-"
"BraA05004522",3.34561430842318,2.22370125659655,18.3909395544558,0.000427861720132314,0.00102665935163191,"BraA05004522","BraA05004522","AT3G04010","AT3G04010","O-Glycosyl hydrolases family 17 protein","-","-"
"BraA01001355",-5.33868452009126,7.71545765498858,18.3363775316513,0.000433996360465564,0.00103941445694916,"BraA01001355","BraA01001355","AT4G21990","42463","APS reductase 3","-","-"
"BraA07003163",3.31933742096066,2.07851914627444,18.3360267055727,0.0004340361207812,0.00103941445694916,"BraA07003163","BraA07003163","AT1G24575","AT1G24575","DEAD-box ATP-dependent RNA helicase-like protein","-","-"
"BraA08003937",8.94488168748256,1.86214775803387,23.9942201554678,0.000437496228149567,0.00104690399120462,"BraA08003937","BraA08003937","AT1G04500","AT1G04500","CCT motif family protein","-","-"
"BraA09001538",-3.84977821072714,3.42654793036438,18.2859310965864,0.000439755473759832,0.00105119127071012,"BraA09001538","BraA09001538","AT5G42170","AT5G42170","SGNH hydrolase-type esterase superfamily protein","-","-"
"BraA06001794",-3.88491718533469,2.49003960806514,18.2798420389884,0.000440456353199863,0.00105238705951306,"BraA06001794","BraA06001794","AT1G16060","ADAP","ARIA-interacting double AP2 domain protein","YES","-"
"BraA01002372",-3.54304576940038,5.35792970120864,18.1053500101672,0.000461079325160244,0.001094797874771,"BraA01002372","BraA01002372","AT4G14690","ELIP2","Chlorophyll A-B binding family protein","-","YES"
"BraA03000520",-3.12138420283702,4.59201273075725,18.0678978534565,0.000465644513200099,0.0011043529856393,"BraA03000520","BraA03000520","AT5G11790","NDL2","N-MYC downregulated-like 2","-","-"
"BraA10001437",-3.16994588175961,2.85027630080233,17.9948055181448,0.000474699661220939,0.00112362723660841,"BraA10001437","BraA10001437","AT5G59010","BSK5","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"BraA05001202",7.46519624606621,4.35198126101832,17.9833822378265,0.000476132482864178,0.00112634106289097,"BraA05001202","BraA05001202","AT2G34180","CIPK13","CBL-interacting protein kinase 13","-","-"
"BraA09005550",-3.18059220777364,6.65979918144173,17.7029942165839,0.000512856352147842,0.00120093862461286,"BraA09005550","BraA09005550","AT3G63190","RRF","ribosome recycling factor, chloroplast precursor","-","-"
"BraA08000038",3.84593278697738,2.28461624812977,17.6903213837954,0.000514589122481629,0.00120445849046124,"BraA08000038","BraA08000038","AT3G13275","AT3G13275","transmembrane protein","-","-"
"BraA05003850",-3.67750945510902,3.65302927353372,17.6844268314731,0.000515397311172421,0.00120599138864078,"BraA05003850","BraA05003850","AT3G12710","AT3G12710","DNA glycosylase superfamily protein","-","-"
"BraA06001469",3.19040348888578,2.38869995429397,17.5103706368114,0.000539910662958532,0.00125488248781395,"BraA06001469","BraA06001469","AT1G11330","AT1G11330","S-locus lectin protein kinase family protein","-","-"
"BraA06002192",8.16087660456936,1.22759469123528,24.2593133681945,0.000550443129164623,0.00127698261544073,"BraA06002192","BraA06002192","AT1G20180","AT1G20180","transmembrane protein (DUF677)","-","-"
"BraA04002821",-4.85142007449215,2.69784912864182,17.3708897844498,0.000560492930622707,0.00129780999945246,"BraA04002821","BraA04002821","AT2G39310","JAL22","jacalin-related lectin 22","-","-"
"BraA06000985",3.6576114919712,3.1682902811119,17.3568108886287,0.000562618538751049,0.00130254013914764,"BraA06000985","BraA06000985","AT3G19820","DWF1","cell elongation protein / DWARF1 / DIMINUTO (DIM)","-","YES"
